WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
4,2,linear,5.077,0.001,0.156,0.254,0.001,0.017,4.589,0.0,0.128,5.37,0.001,0.194
4,2,nonlinear,0.689,0.001,0.046,0.081,0.001,0.005,0.535,0.0,0.036,0.848,0.002,0.055
4,3,linear,6.835,0.517,0.487,0.116,0.062,0.031,6.669,0.417,0.445,7.071,0.625,0.544
4,3,nonlinear,1.702,0.518,0.153,0.188,0.062,0.016,1.343,0.418,0.121,2.048,0.627,0.179
4,4,linear,4.933,0.561,0.557,0.041,0.015,0.018,4.85,0.536,0.523,5.005,0.591,0.592
4,4,nonlinear,1.326,0.561,0.181,0.123,0.016,0.017,1.09,0.536,0.148,1.536,0.591,0.209
4,5,linear,4.864,0.418,0.752,0.028,0.009,0.011,4.812,0.401,0.732,4.917,0.433,0.774
4,5,nonlinear,1.498,0.418,0.179,0.167,0.009,0.02,1.188,0.401,0.142,1.742,0.433,0.21
4,6,linear,4.347,0.289,0.884,0.037,0.007,0.018,4.288,0.274,0.852,4.424,0.3,0.918
4,6,nonlinear,1.821,0.289,0.213,0.201,0.007,0.024,1.461,0.275,0.17,2.115,0.3,0.249
4,7,linear,8.81,0.954,1.734,0.057,0.023,0.024,8.704,0.906,1.694,8.921,0.993,1.778
4,7,nonlinear,1.751,0.952,0.217,0.177,0.024,0.024,1.43,0.907,0.174,2.039,0.996,0.26
4,8,linear,3.464,0.39,1.052,0.036,0.008,0.009,3.408,0.377,1.035,3.545,0.406,1.068
4,8,nonlinear,0.499,0.39,0.697,0.046,0.008,0.064,0.41,0.377,0.578,0.574,0.406,0.8
4,9,linear,3.241,0.448,2.475,0.011,0.005,0.028,3.218,0.438,2.431,3.262,0.457,2.531
4,9,nonlinear,0.723,0.448,0.754,0.069,0.005,0.072,0.593,0.438,0.621,0.833,0.458,0.867
4,10,linear,1.494,0.202,1.518,0.01,0.002,0.012,1.475,0.198,1.496,1.513,0.206,1.537
4,10,nonlinear,0.236,0.202,0.619,0.021,0.002,0.055,0.196,0.198,0.519,0.269,0.206,0.709
4,11,linear,2.843,0.094,1.319,0.03,0.003,0.017,2.794,0.087,1.289,2.9,0.1,1.352
4,11,nonlinear,0.648,0.093,0.402,0.059,0.003,0.037,0.534,0.087,0.33,0.743,0.1,0.46
4,12,linear,5.541,0.225,2.623,0.046,0.01,0.03,5.458,0.205,2.569,5.628,0.244,2.683
4,12,nonlinear,1.672,0.225,0.71,0.161,0.011,0.069,1.349,0.204,0.579,1.914,0.244,0.819
4,13,linear,3.151,0.372,2.48,0.028,0.012,0.044,3.1,0.35,2.39,3.212,0.395,2.554
4,13,nonlinear,0.769,0.372,0.775,0.076,0.012,0.075,0.625,0.351,0.636,0.9,0.397,0.895
4,14,linear,2.886,0.465,2.161,0.027,0.012,0.04,2.842,0.441,2.074,2.938,0.485,2.228
4,14,nonlinear,0.403,0.465,0.111,0.038,0.012,0.011,0.329,0.441,0.088,0.467,0.484,0.127
4,15,linear,4.03,0.613,2.949,0.048,0.014,0.042,3.948,0.589,2.86,4.131,0.639,3.014
4,15,nonlinear,1.192,0.613,0.443,0.114,0.014,0.043,0.981,0.59,0.363,1.38,0.642,0.514
4,16,linear,3.619,0.546,1.233,0.036,0.013,0.019,3.563,0.523,1.194,3.688,0.568,1.268
4,16,nonlinear,0.96,0.547,0.399,0.098,0.013,0.04,0.788,0.524,0.324,1.112,0.569,0.458
1,1,linear,3.094,0.283,0.593,0.077,0.03,0.051,2.988,0.219,0.515,3.262,0.338,0.698
1,1,nonlinear,0.103,0.282,0.034,0.009,0.031,0.003,0.086,0.216,0.027,0.119,0.338,0.039
1,2,linear,6.71,4.802,5.185,0.127,0.096,0.099,6.498,4.63,5.003,6.974,4.983,5.391
1,2,nonlinear,2.574,4.802,1.102,0.296,0.094,0.127,2.006,4.651,0.858,3.043,4.989,1.312
1,3,linear,6.798,1.338,1.998,0.13,0.029,0.027,6.603,1.28,1.957,7.048,1.395,2.05
1,3,nonlinear,1.48,1.338,0.488,0.148,0.029,0.049,1.189,1.284,0.391,1.704,1.395,0.562
1,4,linear,14.326,2.391,3.345,0.12,0.019,0.027,14.076,2.354,3.296,14.525,2.429,3.399
1,4,nonlinear,6.455,2.391,1.49,1.094,0.019,0.253,4.463,2.354,1.033,8.328,2.427,1.928
1,5,linear,7.73,0.689,1.304,0.077,0.004,0.012,7.589,0.681,1.278,7.899,0.697,1.324
1,5,nonlinear,1.756,0.689,0.257,0.181,0.004,0.026,1.416,0.681,0.207,2.042,0.697,0.298
1,6,linear,11.207,1.345,2.375,0.098,0.028,0.036,11.02,1.289,2.314,11.371,1.396,2.447
1,6,nonlinear,3.038,1.346,0.514,0.318,0.028,0.054,2.458,1.293,0.413,3.573,1.401,0.601
1,7,linear,6.825,1.259,1.426,0.044,0.017,0.023,6.738,1.221,1.382,6.908,1.29,1.467
1,7,nonlinear,2.693,1.259,0.674,0.305,0.016,0.077,2.113,1.226,0.527,3.179,1.291,0.796
1,8,linear,7.105,5.405,3.077,0.052,0.047,0.04,7.007,5.316,3.008,7.196,5.491,3.152
1,8,nonlinear,1.619,5.407,0.605,0.174,0.047,0.065,1.32,5.321,0.494,1.89,5.494,0.708
1,9,linear,5.455,4.671,2.555,0.08,0.057,0.151,5.313,4.548,2.36,5.634,4.775,2.869
1,9,nonlinear,1.104,4.669,0.125,0.106,0.058,0.013,0.902,4.545,0.099,1.272,4.773,0.151
1,10,linear,6.042,2.714,2.068,0.061,0.022,0.028,5.949,2.672,2.021,6.164,2.757,2.12
1,10,nonlinear,1.186,2.714,0.655,0.123,0.022,0.068,0.956,2.674,0.529,1.378,2.758,0.759
1,11,linear,3.646,8.235,6.292,0.044,0.049,0.037,3.566,8.129,6.219,3.72,8.315,6.358
1,11,nonlinear,1.059,8.235,1.852,0.114,0.048,0.199,0.841,8.129,1.47,1.241,8.312,2.168
1,12,linear,5.23,8.91,4.956,0.034,0.063,0.075,5.159,8.791,4.789,5.294,9.033,5.087
1,12,nonlinear,1.42,8.909,1.285,0.153,0.064,0.138,1.138,8.791,1.032,1.669,9.032,1.509
1,13,linear,0.788,0.479,0.548,0.016,0.009,0.007,0.764,0.466,0.538,0.821,0.498,0.562
1,13,nonlinear,0.275,0.479,0.364,0.027,0.009,0.035,0.223,0.466,0.3,0.317,0.496,0.418
1,14,linear,3.905,0.703,1.426,0.078,0.019,0.023,3.757,0.668,1.387,4.064,0.736,1.472
1,14,nonlinear,0.231,0.704,0.229,0.022,0.019,0.025,0.19,0.668,0.183,0.27,0.737,0.279
1,15,linear,13.779,4.366,9.732,0.257,0.061,0.181,13.283,4.265,9.364,14.277,4.487,10.026
1,15,nonlinear,4.494,4.363,2.474,0.783,0.059,0.43,3.031,4.269,1.657,5.785,4.489,3.166
1,16,linear,12.959,5.353,10.756,0.082,0.143,0.134,12.808,5.079,10.554,13.096,5.652,11.011
1,16,nonlinear,2.411,5.358,2.623,0.355,0.148,0.37,1.725,5.073,1.915,3.026,5.659,3.205
1,17,linear,0.741,0.147,1.041,0.006,0.002,0.007,0.729,0.143,1.029,0.754,0.151,1.054
1,17,nonlinear,0.181,0.147,0.388,0.016,0.002,0.033,0.151,0.143,0.327,0.205,0.151,0.442
1,18,linear,6.81,1.79,6.737,0.116,0.045,0.064,6.582,1.713,6.614,7.021,1.869,6.856
1,18,nonlinear,0.813,1.79,1.265,0.087,0.045,0.135,0.646,1.71,1.002,0.961,1.867,1.479
1,19,linear,5.451,2.049,6.795,0.063,0.042,0.059,5.356,1.972,6.688,5.575,2.127,6.918
1,19,nonlinear,2.117,2.05,1.819,0.274,0.042,0.235,1.636,1.977,1.406,2.55,2.134,2.184
